Sample.ID,Start.Weight,Weight_g,Delta.Weight.FC,Fat.mass_g,Lean.mass_g,Pre.blood.value,Post.blood.value,Insulin_pre_ng.mL,GIP_pre_pg.mL,Glucagon_pre_ng.mL.,Leptin_pre_ng.mL,Resistin_pre_ng.mL,Insulin_post_ng.mL,GIP_post_pg.mL,Glucagon_post_ng.mL,Leptin_post_ng.mL,Resistin_post_ng.mL,Log10.Pre.blood.value,Log10.Post.blood.value,Log10.Insulin_pre_ng.mL,Log10.Insulin_post_ng.mL,Log10.GIP_pre_pg.mL,Log10.GIP_post_pg.mL,Log10.Glucagon_pre_ng.mL.,Log10.Glucagon_post_ng.mL,Sqrt.Leptin_pre_ng.mL,Sqrt.Leptin_post_ng.mL,Sqrt.Resistin_pre_ng.mL,Sqrt.Resistin_post_ng.mL,Glucose.FC,Insulin.FC,GIP.FC,Glucagon.FC,Leptin.FC,Resistin.FC,Log10.Glucose.FC,Log10.Insulin_FC,Log10.GIP_FC,Log10.Glucagon_FC,Log10.Leptin_FC,Log10.Resistin_FC
7NN,24.17,32.5,1.344642118,4.64,25.74,187,253,1.80462,91.41,0.10325,1.05324,21.8636,3.98613,189.48,0.26619,8.81983,27.80356,5.231108617,5.533389489,0.590350043,1.382820835,4.515354882,5.244283478,-2.270602047,-1.323544939,1.026274817,2.96981986,4.675852863,5.272908116,47.53482701,2.208847292,2.072858549,2.57811138,8.373998329,1.271682614,0.131278915,0.792470792,0.728928596,0.947057108,2.125131468,0.240340916
7RN,30.08,45.98,1.528590426,8.84,34.05,279,279,1.40579,53.3,0.08644,2.64407,11.2839,2.4765,130.94,0.12867,5.76714,14.56407,5.631211782,5.631211782,0.340599422,0.906846273,3.975936331,4.874739203,-2.448304747,-2.050504292,1.626059655,2.401487039,3.359151679,3.816290083,52.87300626,1.76164292,2.456660413,1.488546969,2.181160105,1.290694707,0,0.566246851,0.898802872,0.397800456,0.779856894,0.255180606
8NN,28.42,49.92,1.7565095,13.12,33.02,184,178,0.89979,25.32,0.0681,0.89396,9.86578,1.26577,37.33,0.08644,1.43795,9.60709,5.214935758,5.18178355,-0.105593876,0.235680633,3.231594597,3.619797293,-2.686778066,-2.448304747,0.94549458,1.199145529,3.140983922,3.09953061,29.49192981,1.40673935,1.474328594,1.269309838,1.60851716,0.973779063,-0.014397821,0.341274509,0.388202696,0.238473318,0.475312736,-0.026570836
8RN,26.45,37.2,1.406427221,9.46,25.65,267,223,27.52416,134.53,0.11377,20.16514,22.62117,6.80879,78.91,0.01441,12.25323,14.58775,5.587248658,5.407171771,3.315064164,1.918214424,4.901787222,4.368307963,-2.173576412,-4.239832869,4.490561212,3.500461398,4.75617178,3.819391313,11.58943072,0.247375033,0.586560618,0.126659049,0.607644182,0.644871596,-0.078206398,-1.396849742,-0.533479261,-2.066256456,-0.498165795,-0.438704058
9NN,24.02,31.6,1.315570358,5.2,24.5,341,277,1.56141,110.81,0.1279,1.92909,7.42235,2.14939,92.4,0.09977,2.08118,7.07592,5.831882477,5.624017506,0.445589259,0.765184081,4.707817023,4.526126979,-2.05650657,-2.304887742,1.388916844,1.442629544,2.724399016,2.66006015,42.98894105,1.376569895,0.83385976,0.780062549,1.078840282,0.953326103,-0.09027461,0.319594822,-0.181690044,-0.248381171,0.075886651,-0.047798248
9RN,30.4,42.64,1.402631579,7.13,32.01,292,232,4.47616,102.04,0.20967,4.2989,16.84353,9.49746,72.84,0.15799,8.95079,12.12075,5.676753802,5.446737372,1.498765536,2.251024394,4.625364893,4.288265255,-1.562220413,-1.845223539,2.073378885,2.991787091,4.104086987,3.481486751,7.669418981,2.121787425,0.713837711,0.753517432,2.082111703,0.719608657,-0.099894867,0.752258858,-0.337099638,-0.283003126,0.733382621,-0.329047747
11NN,30.27,44.02,1.454245127,10.62,30.51,204,353,2.86583,84.73,0.08556,6.53225,14.27162,2.96763,150.74,0.1173,9.57277,21.21507,5.318119994,5.866468057,1.052858012,1.087763654,4.43946973,5.015556498,-2.458537395,-2.143020523,2.555826676,3.093989334,3.777779771,4.60598198,50.79474193,1.035521995,1.779062906,1.370967742,1.465462896,1.486521502,0.238144538,0.034905643,0.576086768,0.315516871,0.382171163,0.396438828
11RN,30.46,49.3,1.618516087,17.06,28.98,320,318,4.13767,118.84,0.18043,12.01759,44.33107,2.86583,101.3,0.16172,9.99321,21.06237,5.768320996,5.762051383,1.420132827,1.052858012,4.777778051,4.618086411,-1.712412388,-1.821888834,3.466639583,3.161203885,6.658158154,4.589375775,35.34752585,0.692619276,0.852406597,0.896303276,0.831548588,0.475115309,-0.002722858,-0.367274816,-0.159691639,-0.109476446,-0.184465548,-0.744197749
12NN,23.79,45.4,1.908364859,17.82,24.96,272,311,6.66804,148.51,0.1992,12.73505,33.10752,5.82128,104.51,0.09611,11.4213,17.29974,5.605802066,5.739792912,1.897325964,1.761520169,5.000652296,4.649282761,-1.613445934,-2.34226191,3.568620182,3.379541389,5.753913451,4.159295613,17.95309623,0.873012159,0.703723655,0.48247992,0.896839824,0.522532041,0.058191485,-0.135805795,-0.351369535,-0.728815976,-0.108878001,-0.649068975
12RN,26.01,39.3,1.510957324,7.87,28.67,258,312,0.90813,185,0.09611,4.55171,28.61098,0.99992,97.96,0.08002,2.48219,21.24785,5.552959585,5.743003188,-0.096367739,-8.00E-05,5.220355825,4.584559232,-2.34226191,-2.525478676,2.133473693,1.575496747,5.348923256,4.609539023,97.96783743,1.101075837,0.529513514,0.83258766,0.545331315,0.742646704,0.082534888,0.096287735,-0.635796592,-0.183216765,-0.606361752,-0.297534847
